Year,State,State Initials,Democratic,Libertarian,Other,Republican,Region,Winner
1976,ALABAMA,AL,659170,1481,18129,504070,South,Democratic
1976,ALASKA,AK,44058,6785,1176,71555,West,Republican
1976,ARIZONA,AZ,295602,7647,20828,418642,West,Republican
1976,ARKANSAS,AR,498604,0,1028,267903,South,Democratic
1976,CALIFORNIA,CA,3742284,0,179242,3882244,West,Republican
1976,COLORADO,CO,460801,5338,31023,584278,West,Republican
1976,CONNECTICUT,CT,647895,0,19199,719261,Northeast,Republican
1976,DELAWARE,DE,122461,0,3401,109780,South,Democratic
1976,DISTRICT OF COLUMBIA,DC,137818,0,3139,27873,South,Democratic
1976,FLORIDA,FL,1636000,0,45100,1469531,South,Democratic
1976,GEORGIA,GA,979409,0,0,483743,South,Democratic
1976,HAWAII,HI,147375,3923,0,140003,West,Democratic
1976,IDAHO,ID,126549,3558,6674,204151,West,Republican
1976,ILLINOIS,IL,2271295,8057,77661,2364269,Midwest,Republican
1976,INDIANA,IN,1014714,0,21690,1183958,Midwest,Republican
1976,IOWA,IA,619931,1454,25054,632864,Midwest,Republican
1976,KANSAS,KS,430421,0,24672,502752,Midwest,Republican
1976,KENTUCKY,KY,615717,814,18759,531852,South,Democratic
1976,LOUISIANA,LA,661365,3134,25438,587446,South,Democratic
1976,MAINE,ME,232279,0,14369,236320,Northeast,Republican
1976,MARYLAND,MD,759612,0,0,672661,South,Democratic
1976,MASSACHUSETTS,MA,1429475,135,87672,1030276,Northeast,Democratic
1976,MICHIGAN,MI,1696714,5407,55727,1893742,Midwest,Republican
1976,MINNESOTA,MN,1070440,3529,56567,819395,Midwest,Democratic
1976,MISSISSIPPI,MS,381329,2609,17606,366846,South,Democratic
1976,MISSOURI,MO,998387,0,27770,927443,Midwest,Democratic
1976,MONTANA,MT,149259,0,5772,173703,West,Republican
1976,NEBRASKA,NE,233293,1476,12761,359219,Midwest,Republican
1976,NEVADA,NV,92479,1519,6605,101273,West,Republican
1976,NEW HAMPSHIRE,NH,147645,936,5111,185935,Northeast,Republican
1976,NEW JERSEY,NJ,1444653,9449,50682,1509688,Northeast,Republican
1976,NEW MEXICO,NM,201148,1110,2913,211419,West,Republican
1976,NEW YORK,NY,3244165,0,598184,2825913,Northeast,Democratic
1976,NORTH CAROLINA,NC,927365,2219,6362,741960,South,Democratic
1976,NORTH DAKOTA,ND,136078,256,7290,153684,Midwest,Republican
1976,OHIO,OH,2009959,8952,90919,2000626,Midwest,Democratic
1976,OKLAHOMA,OK,532442,0,14101,545708,South,Republican
1976,OREGON,OR,490407,0,47349,492120,West,Republican
1976,PENNSYLVANIA,PA,2328677,0,86506,2205604,Northeast,Democratic
1976,RHODE ISLAND,RI,227636,715,984,181249,Northeast,Democratic
1976,SOUTH CAROLINA,SC,450807,0,5627,346149,South,Democratic
1976,SOUTH DAKOTA,SD,147068,1619,486,151505,Midwest,Republican
1976,TENNESSEE,TN,825879,0,16498,633969,South,Democratic
1976,TEXAS,TX,2082319,0,36265,1953300,South,Democratic
1976,UTAH,UT,182110,0,21200,337908,West,Republican
1976,VERMONT,VT,77798,0,5717,100387,Northeast,Republican
1976,VIRGINIA,VA,813896,4648,41996,836554,South,Republican
1976,WASHINGTON,WA,717323,5042,55437,777732,West,Republican
1976,WEST VIRGINIA,WV,435864,0,0,314726,South,Democratic
1976,WISCONSIN,WI,1040232,3814,52303,1004987,Midwest,Democratic
1976,WYOMING,WY,62239,0,1387,92717,West,Republican
1980,ALABAMA,AL,636730,13318,37689,654192,South,Republican
1980,ALASKA,AK,41842,18479,12012,86112,West,Republican
1980,ARIZONA,AZ,246843,18784,78630,529688,West,Republican
1980,ARKANSAS,AR,398041,8970,27407,403164,South,Republican
1980,CALIFORNIA,CA,3082943,148390,828611,4522994,West,Republican
1980,COLORADO,CO,368009,25744,138433,652264,West,Republican
1980,CONNECTICUT,CT,541732,8570,178773,677210,Northeast,Republican
1980,DELAWARE,DE,105754,1974,16688,111252,South,Republican
1980,DISTRICT OF COLUMBIA,DC,130231,1104,19241,23313,South,Democratic
1980,FLORIDA,FL,1419475,30524,189977,2046951,South,Republican
1980,GEORGIA,GA,890955,15627,36055,654168,South,Democratic
1980,HAWAII,HI,135879,3269,34027,130112,West,Democratic
1980,IDAHO,ID,110192,8425,28115,290699,West,Republican
1980,ILLINOIS,IL,1981413,38939,371320,2358049,Midwest,Republican
1980,INDIANA,IN,844197,19627,122553,1255656,Midwest,Republican
1980,IOWA,IA,508672,13123,119840,676026,Midwest,Republican
1980,KANSAS,KS,326150,14470,72363,566812,Midwest,Republican
1980,KENTUCKY,KY,617417,5531,37405,635274,South,Republican
1980,LOUISIANA,LA,708453,8240,39045,792853,South,Republican
1980,MAINE,ME,220974,5119,58396,238522,Northeast,Republican
1980,MARYLAND,MD,726161,14192,119537,680606,South,Democratic
1980,MASSACHUSETTS,MA,1053802,22038,390619,1057631,Northeast,Republican
1980,MICHIGAN,MI,1661532,41597,291371,1915225,Midwest,Republican
1980,MINNESOTA,MN,954173,31593,192882,873268,Midwest,Democratic
1980,MISSISSIPPI,MS,429281,4702,16678,441089,South,Republican
1980,MISSOURI,MO,931182,14422,80039,1074181,Midwest,Republican
1980,MONTANA,MT,118032,9825,29281,206814,West,Republican
1980,NEBRASKA,NE,166424,9041,44854,419214,Midwest,Republican
1980,NEVADA,NV,66666,4358,17651,155017,West,Republican
1980,NEW HAMPSHIRE,NH,108864,2064,51357,221705,Northeast,Republican
1980,NEW JERSEY,NJ,1147364,20652,261111,1546557,Northeast,Republican
1980,NEW MEXICO,NM,167826,4365,33267,250779,West,Republican
1980,NEW YORK,NY,2728372,0,835887,2637700,Northeast,Democratic
1980,NORTH CAROLINA,NC,875635,9677,55503,915018,South,Republican
1980,NORTH DAKOTA,ND,79189,3743,24489,193695,Midwest,Republican
1980,OHIO,OH,1752414,49033,275611,2206545,Midwest,Republican
1980,OKLAHOMA,OK,402026,13828,38284,695570,South,Republican
1980,OREGON,OR,456890,25838,127744,571044,West,Republican
1980,PENNSYLVANIA,PA,1937540,33263,328826,2261872,Northeast,Republican
1980,RHODE ISLAND,RI,198342,2458,60374,154793,Northeast,Democratic
1980,SOUTH CAROLINA,SC,428220,4807,15954,439277,South,Republican
1980,SOUTH DAKOTA,SD,103855,3824,21681,198343,Midwest,Republican
1980,TENNESSEE,TN,783051,7116,39688,787761,South,Republican
1980,TEXAS,TX,1881147,37643,112141,2510705,South,Republican
1980,UTAH,UT,124266,7156,33043,439687,West,Republican
1980,VERMONT,VT,81952,1900,34819,94628,Northeast,Republican
1980,VIRGINIA,VA,752174,12821,111428,989609,South,Republican
1980,WASHINGTON,WA,650193,29213,197744,865244,West,Republican
1980,WEST VIRGINIA,WV,367462,4356,31691,334206,South,Democratic
1980,WISCONSIN,WI,981584,29135,173657,1088845,Midwest,Republican
1980,WYOMING,WY,49427,4514,12072,110700,West,Republican
1984,ALABAMA,AL,551899,9504,7461,872849,South,Republican
1984,ALASKA,AK,62007,6378,843,138377,West,Republican
1984,ARIZONA,AZ,333854,10585,42,681416,West,Republican
1984,ARKANSAS,AR,338646,2221,8765,534774,South,Republican
1984,CALIFORNIA,CA,3922519,49951,65562,5467009,West,Republican
1984,COLORADO,CO,454975,11257,7331,821817,West,Republican
1984,CONNECTICUT,CT,569597,0,6426,890877,Northeast,Republican
1984,DELAWARE,DE,101656,268,458,152190,South,Republican
1984,DISTRICT OF COLUMBIA,DC,180408,279,1592,29009,South,Democratic
1984,FLORIDA,FL,1448816,0,885,2730350,South,Republican
1984,GEORGIA,GA,706628,0,753,1068722,South,Republican
1984,HAWAII,HI,147154,2167,1475,185050,West,Republican
1984,IDAHO,ID,108510,2823,2288,297523,West,Republican
1984,ILLINOIS,IL,2086499,10086,15400,2707103,Midwest,Republican
1984,INDIANA,IN,841481,6741,7617,1377230,Midwest,Republican
1984,IOWA,IA,605620,1844,9253,703088,Midwest,Republican
1984,KANSAS,KS,333149,3329,8217,677296,Midwest,Republican
1984,KENTUCKY,KY,539539,0,8104,821702,South,Republican
1984,LOUISIANA,LA,651586,1876,16061,1037299,South,Republican
1984,MAINE,ME,214515,0,2129,336500,Northeast,Republican
1984,MARYLAND,MD,787935,5721,2299,879918,South,Republican
1984,MASSACHUSETTS,MA,1239606,0,8841,1310936,Northeast,Republican
1984,MICHIGAN,MI,1529638,10055,10394,2251571,Midwest,Republican
1984,MINNESOTA,MN,1036364,2996,12486,1032603,Midwest,Democratic
1984,MISSISSIPPI,MS,352192,2336,4199,582377,South,Republican
1984,MISSOURI,MO,848583,0,0,1274188,Midwest,Republican
1984,MONTANA,MT,146742,5185,0,232450,West,Republican
1984,NEBRASKA,NE,187866,2079,2091,460054,Midwest,Republican
1984,NEVADA,NV,91655,2292,0,188770,West,Republican
1984,NEW HAMPSHIRE,NH,120347,735,772,267050,Northeast,Republican
1984,NEW JERSEY,NJ,1261323,6416,16493,1933630,Northeast,Republican
1984,NEW MEXICO,NM,201769,4459,1041,307101,West,Republican
1984,NEW YORK,NY,3001285,11949,417057,3376519,Northeast,Republican
1984,NORTH CAROLINA,NC,824287,3794,799,1346481,South,Republican
1984,NORTH DAKOTA,ND,104429,703,3503,200336,Midwest,Republican
1984,OHIO,OH,1825440,5886,53350,2678559,Midwest,Republican
1984,OKLAHOMA,OK,385080,9066,0,861530,South,Republican
1984,OREGON,OR,536479,0,4348,685700,West,Republican
1984,PENNSYLVANIA,PA,2228131,6982,25467,2584323,Northeast,Republican
1984,RHODE ISLAND,RI,197106,277,1026,212080,Northeast,Republican
1984,SOUTH CAROLINA,SC,344459,4359,4172,615539,South,Republican
1984,SOUTH DAKOTA,SD,116113,0,1487,200267,Midwest,Republican
1984,TENNESSEE,TN,711714,3072,6995,990212,South,Republican
1984,TEXAS,TX,1949276,0,14867,3433428,South,Republican
1984,UTAH,UT,155369,2447,2735,469105,West,Republican
1984,VERMONT,VT,95730,1002,1964,135865,Northeast,Republican
1984,VIRGINIA,VA,796250,0,13307,1337078,South,Republican
1984,WASHINGTON,WA,798352,8844,16044,1051670,West,Republican
1984,WEST VIRGINIA,WV,328125,0,2134,405483,South,Republican
1984,WISCONSIN,WI,995740,4883,12482,1198584,Midwest,Republican
1984,WYOMING,WY,53370,2357,0,133241,West,Republican
1988,ALABAMA,AL,549506,8460,4934,815576,South,Republican
1988,ALASKA,AK,72584,5484,2797,119251,West,Republican
1988,ARIZONA,AZ,454029,13351,1952,702541,West,Republican
1988,ARKANSAS,AR,349237,3297,8626,466578,South,Republican
1988,CALIFORNIA,CA,4702233,70105,59810,5054917,West,Republican
1988,COLORADO,CO,621453,15482,7282,728177,West,Republican
1988,CONNECTICUT,CT,676584,14071,2498,750241,Northeast,Republican
1988,DELAWARE,DE,108647,1162,443,139639,South,Republican
1988,DISTRICT OF COLUMBIA,DC,159407,554,5326,27590,South,Democratic
1988,FLORIDA,FL,1656701,19796,6931,2618885,South,Republican
1988,GEORGIA,GA,714792,8435,5114,1081331,South,Republican
1988,HAWAII,HI,192364,1999,1473,158625,West,Democratic
1988,IDAHO,ID,147272,5313,2502,253881,West,Republican
1988,ILLINOIS,IL,2215940,14944,17297,2310939,Midwest,Republican
1988,INDIANA,IN,860643,0,10215,1297763,Midwest,Republican
1988,IOWA,IA,670557,2494,7208,545355,Midwest,Democratic
1988,KANSAS,KS,422636,0,16359,554049,Midwest,Republican
1988,KENTUCKY,KY,580368,2118,5750,734281,South,Republican
1988,LOUISIANA,LA,717460,4115,22925,883702,South,Republican
1988,MAINE,ME,243569,2700,1635,307131,Northeast,Republican
1988,MARYLAND,MD,826304,6748,5139,876167,South,Republican
1988,MASSACHUSETTS,MA,1401415,24251,12500,1194635,Northeast,Democratic
1988,MICHIGAN,MI,1675783,18336,9558,1965486,Midwest,Republican
1988,MINNESOTA,MN,1109471,5109,19873,962337,Midwest,Democratic
1988,MISSISSIPPI,MS,363921,3329,6387,557890,South,Republican
1988,MISSOURI,MO,1001619,0,6656,1084953,Midwest,Republican
1988,MONTANA,MT,168936,5047,1279,190412,West,Republican
1988,NEBRASKA,NE,259235,2534,1740,397956,Midwest,Republican
1988,NEVADA,NV,132738,3520,835,206040,West,Republican
1988,NEW HAMPSHIRE,NH,163696,4502,790,281537,Northeast,Republican
1988,NEW JERSEY,NJ,1320352,8421,27588,1743192,Northeast,Republican
1988,NEW MEXICO,NM,244497,3368,3181,270341,West,Republican
1988,NEW YORK,NY,3255487,12109,379673,2838414,Northeast,Democratic
1988,NORTH CAROLINA,NC,890167,0,6945,1237258,South,Republican
1988,NORTH DAKOTA,ND,127739,1315,1648,166559,Midwest,Republican
1988,OHIO,OH,1939629,11926,25481,2416549,Midwest,Republican
1988,OKLAHOMA,OK,483423,6261,2985,678367,South,Republican
1988,OREGON,OR,616206,14811,10551,560126,West,Democratic
1988,PENNSYLVANIA,PA,2194944,12051,29169,2300087,Northeast,Republican
1988,RHODE ISLAND,RI,225123,825,913,177761,Northeast,Democratic
1988,SOUTH CAROLINA,SC,370554,4935,4077,606443,South,Republican
1988,SOUTH DAKOTA,SD,145560,0,2016,165415,Midwest,Republican
1988,TENNESSEE,TN,679794,0,9223,947233,South,Republican
1988,TEXAS,TX,2352748,30355,7478,3036829,South,Republican
1988,UTAH,UT,207343,7473,3750,428442,West,Republican
1988,VERMONT,VT,115775,1000,2222,124331,Northeast,Republican
1988,VIRGINIA,VA,859799,8336,14312,1309162,South,Republican
1988,WASHINGTON,WA,933516,17240,10662,903835,West,Democratic
1988,WEST VIRGINIA,WV,341016,0,2230,310065,South,Democratic
1988,WISCONSIN,WI,1126794,0,17315,1047499,Midwest,Democratic
1988,WYOMING,WY,67113,2026,545,106867,West,Republican
1992,ALABAMA,AL,690080,5737,187960,804283,South,Republican
1992,ALASKA,AK,78294,1378,76834,102000,West,Republican
1992,ARIZONA,AZ,543050,6759,365080,572086,West,Republican
1992,ARKANSAS,AR,505823,0,107506,337324,South,Democratic
1992,CALIFORNIA,CA,5121325,48139,2331683,3630574,West,Democratic
1992,COLORADO,CO,629681,8669,367980,562850,West,Democratic
1992,CONNECTICUT,CT,682318,5391,350134,578313,Northeast,Democratic
1992,DELAWARE,DE,126054,935,60318,102313,South,Democratic
1992,DISTRICT OF COLUMBIA,DC,192619,467,13788,20698,South,Democratic
1992,FLORIDA,FL,2071698,15079,1053305,2173310,South,Republican
1992,GEORGIA,GA,1008966,7110,309805,995252,South,Democratic
1992,HAWAII,HI,179310,1119,55591,136822,West,Democratic
1992,IDAHO,ID,137013,1167,141289,202645,West,Republican
1992,ILLINOIS,IL,2453350,9218,853493,1734096,Midwest,Democratic
1992,INDIANA,IN,848420,7936,460140,989375,Midwest,Republican
1992,IOWA,IA,586353,1076,262287,504891,Midwest,Democratic
1992,KANSAS,KS,390434,4314,312537,449951,Midwest,Republican
1992,KENTUCKY,KY,665104,4513,206105,617178,South,Democratic
1992,LOUISIANA,LA,815971,3155,237505,733386,South,Democratic
1992,MAINE,ME,263420,1681,207894,206504,Northeast,Democratic
1992,MARYLAND,MD,988571,4715,284200,707094,South,Democratic
1992,MASSACHUSETTS,MA,1318639,9021,640965,805039,Northeast,Democratic
1992,MICHIGAN,MI,1871182,10175,838376,1554940,Midwest,Democratic
1992,MINNESOTA,MN,1020997,3374,575736,747841,Midwest,Democratic
1992,MISSISSIPPI,MS,400258,2154,91588,487793,South,Republican
1992,MISSOURI,MO,1053873,7497,518741,811159,Midwest,Democratic
1992,MONTANA,MT,154507,986,110883,144207,West,Democratic
1992,NEBRASKA,NE,216864,1340,175664,343678,Midwest,Republican
1992,NEVADA,NV,189148,1835,139507,175828,West,Democratic
1992,NEW HAMPSHIRE,NH,209040,3548,122143,202484,Northeast,Democratic
1992,NEW JERSEY,NJ,1436206,6822,543701,1356865,Northeast,Democratic
1992,NEW MEXICO,NM,261617,1615,93930,212824,West,Democratic
1992,NEW YORK,NY,3346894,13451,1677397,2041690,Northeast,Democratic
1992,NORTH CAROLINA,NC,1114042,5171,357976,1134661,South,Republican
1992,NORTH DAKOTA,ND,99168,0,72721,136244,Midwest,Republican
1992,OHIO,OH,1984942,0,1060715,1894310,Midwest,Democratic
1992,OKLAHOMA,OK,473066,4486,319878,592929,South,Republican
1992,OREGON,OR,621314,4277,361295,475757,West,Democratic
1992,PENNSYLVANIA,PA,2239164,21477,907328,1791841,Northeast,Democratic
1992,RHODE ISLAND,RI,213299,571,107894,131601,Northeast,Democratic
1992,SOUTH CAROLINA,SC,525514,2719,123172,577507,South,Republican
1992,SOUTH DAKOTA,SD,124888,814,73834,136718,Midwest,Republican
1992,TENNESSEE,TN,933521,0,207817,841300,South,Democratic
1992,TEXAS,TX,2281815,19699,1356433,2496071,South,Republican
1992,UTAH,UT,183429,1900,236037,322632,West,Republican
1992,VERMONT,VT,133592,501,67486,88122,Northeast,Democratic
1992,VIRGINIA,VA,1038650,5730,364232,1150517,South,Republican
1992,WASHINGTON,WA,993037,7533,555761,731234,West,Democratic
1992,WEST VIRGINIA,WV,331001,1873,108829,241974,South,Democratic
1992,WISCONSIN,WI,1041066,2877,556266,930855,Midwest,Democratic
1992,WYOMING,WY,68160,844,51533,79347,West,Republican
1996,ALABAMA,AL,662165,5290,97850,769044,South,Republican
1996,ALASKA,AK,80380,2276,36218,122746,West,Republican
1996,ARIZONA,AZ,653288,14358,114686,622073,West,Democratic
1996,ARKANSAS,AR,475171,3076,80599,325416,South,Democratic
1996,CALIFORNIA,CA,5119835,73600,997653,3828381,West,Democratic
1996,COLORADO,CO,671152,12392,135310,691848,West,Republican
1996,CONNECTICUT,CT,735740,5788,167977,483109,Northeast,Democratic
1996,DELAWARE,DE,140355,2052,29341,99062,South,Democratic
1996,DISTRICT OF COLUMBIA,DC,158220,588,9579,17339,South,Democratic
1996,FLORIDA,FL,2546870,23326,488422,2244536,South,Democratic
1996,GEORGIA,GA,1053849,17870,146337,1080843,South,Republican
1996,HAWAII,HI,205012,2493,38672,113943,West,Democratic
1996,IDAHO,ID,165443,3325,66348,256595,West,Republican
1996,ILLINOIS,IL,2341744,22548,360078,1587021,Midwest,Democratic
1996,INDIANA,IN,887424,15632,225682,1006693,Midwest,Republican
1996,IOWA,IA,620258,2315,118858,492644,Midwest,Democratic
1996,KANSAS,KS,387659,4557,98839,583245,Midwest,Republican
1996,KENTUCKY,KY,636614,4009,124802,623283,South,Democratic
1996,LOUISIANA,LA,927837,7499,136037,712586,South,Democratic
1996,MAINE,ME,312788,2996,103735,186378,Northeast,Democratic
1996,MARYLAND,MD,966207,8765,124368,681530,South,Democratic
1996,MASSACHUSETTS,MA,1571509,20424,246468,718058,Northeast,Democratic
1996,MICHIGAN,MI,1989653,27670,350309,1481212,Midwest,Democratic
1996,MINNESOTA,MN,1120380,8271,297446,766395,Midwest,Democratic
1996,MISSISSIPPI,MS,394022,2809,57188,439838,South,Republican
1996,MISSOURI,MO,1025935,10522,231592,890016,Midwest,Democratic
1996,MONTANA,MT,167922,2526,56983,179652,West,Republican
1996,NEBRASKA,NE,236761,2792,74395,363467,Midwest,Republican
1996,NEVADA,NV,203974,4460,56601,199244,West,Democratic
1996,NEW HAMPSHIRE,NH,246166,4214,49731,196486,Northeast,Democratic
1996,NEW JERSEY,NJ,1652361,0,320400,1103099,Northeast,Democratic
1996,NEW MEXICO,NM,273495,2996,46832,232751,West,Democratic
1996,NEW YORK,NY,3649630,12220,1038572,1738707,Northeast,Democratic
1996,NORTH CAROLINA,NC,1107849,8740,173280,1225938,South,Republican
1996,NORTH DAKOTA,ND,106905,847,33609,125050,Midwest,Republican
1996,OHIO,OH,2148222,12851,513478,1859883,Midwest,Democratic
1996,OKLAHOMA,OK,488105,5505,130788,582315,South,Republican
1996,OREGON,OR,649641,8903,181064,538152,West,Democratic
1996,PENNSYLVANIA,PA,2215819,28000,456319,1801169,Northeast,Democratic
1996,RHODE ISLAND,RI,233050,1109,51405,104683,Northeast,Democratic
1996,SOUTH CAROLINA,SC,506152,4271,66420,573339,South,Republican
1996,SOUTH DAKOTA,SD,139333,1472,32478,150543,Midwest,Republican
1996,TENNESSEE,TN,909146,0,121429,863530,South,Democratic
1996,TEXAS,TX,2459683,20256,395538,2736167,South,Republican
1996,UTAH,UT,221633,4129,77956,361911,West,Republican
1996,VERMONT,VT,137894,1183,39020,80352,Northeast,Democratic
1996,VIRGINIA,VA,1091060,9174,178058,1138350,South,Republican
1996,WASHINGTON,WA,1123323,12522,277280,840712,West,Democratic
1996,WEST VIRGINIA,WV,327812,3062,71639,233946,South,Democratic
1996,WISCONSIN,WI,1071971,7929,271240,845029,Midwest,Democratic
1996,WYOMING,WY,77934,1739,26510,105388,West,Republican
2000,ALABAMA,AL,692611,5893,26595,941173,South,Republican
