Year,State,State Initials,Democratic,Libertarian,Other,Republican,Region,Winner
2000,ALASKA,AK,79004,2636,36522,167398,West,Republican
2000,ARIZONA,AZ,685341,5775,59248,781652,West,Republican
2000,ARKANSAS,AR,422768,2781,23292,472940,South,Republican
2000,CALIFORNIA,CA,5861203,45520,491670,4567429,West,Democratic
2000,COLORADO,CO,738227,12799,106594,883748,West,Republican
2000,CONNECTICUT,CT,816015,3484,78932,561094,Northeast,Democratic
2000,DELAWARE,DE,180068,774,9399,137288,South,Democratic
2000,DISTRICT OF COLUMBIA,DC,171923,669,11229,18073,South,Democratic
2000,FLORIDA,FL,2912253,16415,121652,2912790,South,Republican
2000,GEORGIA,GA,1116230,36332,10926,1419720,South,Republican
2000,HAWAII,HI,205286,1477,23343,137845,West,Democratic
2000,IDAHO,ID,138637,3488,22553,336937,West,Republican
2000,ILLINOIS,IL,2589026,11623,122038,2019421,Midwest,Democratic
2000,INDIANA,IN,901980,15530,35956,1245836,Midwest,Republican
2000,IOWA,IA,638517,3209,76923,634373,Midwest,Democratic
2000,KANSAS,KS,399276,4525,46083,622332,Midwest,Republican
2000,KENTUCKY,KY,638923,2885,29778,872520,South,Republican
2000,LOUISIANA,LA,792344,2951,42490,927871,South,Republican
2000,MAINE,ME,319951,3074,42176,286616,Northeast,Democratic
2000,MARYLAND,MD,1144008,5310,62067,813827,South,Democratic
2000,MASSACHUSETTS,MA,1616487,16366,222609,878502,Northeast,Democratic
2000,MICHIGAN,MI,2170418,16711,92233,1953139,Midwest,Democratic
2000,MINNESOTA,MN,1168266,5282,155478,1109659,Midwest,Democratic
2000,MISSISSIPPI,MS,404614,2009,14717,572844,South,Republican
2000,MISSOURI,MO,1111138,7436,51394,1189924,Midwest,Republican
2000,MONTANA,MT,137126,1718,31964,240178,West,Republican
2000,NEBRASKA,NE,231780,2245,29132,433862,Midwest,Republican
2000,NEVADA,NV,279978,3311,24562,301575,West,Republican
2000,NEW HAMPSHIRE,NH,266348,2757,26417,273559,Northeast,Republican
2000,NEW JERSEY,NJ,1788850,0,114203,1284173,Northeast,Democratic
2000,NEW MEXICO,NM,286783,2058,23347,286417,West,Democratic
2000,NEW YORK,NY,3942215,7649,751774,2258577,Northeast,Democratic
2000,NORTH CAROLINA,NC,1257692,13891,12244,1631163,South,Republican
2000,NORTH DAKOTA,ND,95284,0,18120,174852,Midwest,Republican
2000,OHIO,OH,2183628,13473,154534,2350363,Midwest,Republican
2000,OKLAHOMA,OK,474276,6602,9014,744337,South,Republican
2000,OREGON,OR,720342,7447,92584,713577,West,Democratic
2000,PENNSYLVANIA,PA,2485967,11248,133843,2281127,Northeast,Democratic
2000,RHODE ISLAND,RI,249508,742,28307,130555,Northeast,Democratic
2000,SOUTH CAROLINA,SC,566037,4760,26213,786892,South,Republican
2000,SOUTH DAKOTA,SD,118804,1662,5103,190700,Midwest,Republican
2000,TENNESSEE,TN,981720,0,32512,1061949,South,Republican
2000,TEXAS,TX,2433746,23160,151092,3799639,South,Republican
2000,UTAH,UT,203053,3616,48989,515096,West,Republican
2000,VERMONT,VT,149022,784,24727,119775,Northeast,Democratic
2000,VIRGINIA,VA,1217290,15198,69469,1437490,South,Republican
2000,WASHINGTON,WA,1247652,13135,117782,1108864,West,Democratic
2000,WEST VIRGINIA,WV,295497,1912,14240,336475,South,Republican
2000,WISCONSIN,WI,1242987,6640,111701,1237279,Midwest,Democratic
2000,WYOMING,WY,60481,1443,3855,147947,West,Republican
2004,ALABAMA,AL,693933,0,13088,1176394,South,Republican
2004,ALASKA,AK,111025,1675,9009,190889,West,Republican
2004,ARIZONA,AZ,893524,11856,2911,1104294,West,Republican
2004,ARKANSAS,AR,469953,2352,9742,572898,South,Republican
2004,CALIFORNIA,CA,6745485,50165,115877,5509826,West,Democratic
2004,COLORADO,CO,1001732,7664,18979,1101255,West,Republican
2004,CONNECTICUT,CT,857488,3367,24088,693826,Northeast,Democratic
2004,DELAWARE,DE,200152,586,2792,171660,South,Democratic
2004,DISTRICT OF COLUMBIA,DC,202970,502,2858,21256,South,Democratic
2004,FLORIDA,FL,3583544,11996,49748,3964522,South,Republican
2004,GEORGIA,GA,1366149,18387,3085,1914254,South,Republican
2004,HAWAII,HI,231708,1377,1737,194191,West,Democratic
2004,IDAHO,ID,181098,3844,4199,409235,West,Republican
2004,ILLINOIS,IL,2891550,32442,4384,2345946,Midwest,Democratic
2004,INDIANA,IN,969011,18058,1495,1479438,Midwest,Republican
2004,IOWA,IA,741898,2992,10061,751957,Midwest,Republican
2004,KANSAS,KS,434993,4013,12294,736456,Midwest,Republican
2004,KENTUCKY,KY,712733,2619,11091,1069439,South,Republican
2004,LOUISIANA,LA,820299,2781,17857,1102169,South,Republican
2004,MAINE,ME,396842,1965,11744,330201,Northeast,Democratic
2004,MARYLAND,MD,1334500,6094,18941,1024703,South,Democratic
2004,MASSACHUSETTS,MA,1803800,15022,37524,1071109,Northeast,Democratic
2004,MICHIGAN,MI,2479183,10552,35771,2313746,Midwest,Democratic
2004,MINNESOTA,MN,1445014,4639,32039,1346695,Midwest,Democratic
2004,MISSISSIPPI,MS,457766,1793,7605,672660,South,Republican
2004,MISSOURI,MO,1259171,9831,6649,1455713,Midwest,Republican
2004,MONTANA,MT,173710,1733,8928,266063,West,Republican
2004,NEBRASKA,NE,254328,2041,9003,512814,Midwest,Republican
2004,NEVADA,NV,397190,3176,10531,418690,West,Republican
2004,NEW HAMPSHIRE,NH,340511,0,6539,331237,Northeast,Democratic
2004,NEW JERSEY,NJ,1911430,0,30258,1670003,Northeast,Democratic
2004,NEW MEXICO,NM,370942,2382,6050,376930,West,Republican
2004,NEW YORK,NY,4180755,11607,448911,2806993,Northeast,Democratic
2004,NORTH CAROLINA,NC,1525849,11731,2261,1961166,South,Republican
2004,NORTH DAKOTA,ND,111052,851,4279,196651,Midwest,Republican
2004,OHIO,OH,2741165,0,26974,2859764,Midwest,Republican
2004,OKLAHOMA,OK,503966,0,0,959792,South,Republican
2004,OREGON,OR,943163,7260,19528,866831,West,Democratic
2004,PENNSYLVANIA,PA,2938095,21185,16463,2793847,Northeast,Democratic
2004,RHODE ISLAND,RI,259760,907,7421,169046,Northeast,Democratic
2004,SOUTH CAROLINA,SC,661669,3608,14449,937974,South,Republican
2004,SOUTH DAKOTA,SD,149244,964,5423,232584,Midwest,Republican
2004,TENNESSEE,TN,1036477,0,16467,1384375,South,Republican
2004,TEXAS,TX,2832704,38787,12341,4526917,South,Republican
2004,UTAH,UT,241199,3375,19528,663742,West,Republican
2004,VERMONT,VT,184067,1102,5960,121180,Northeast,Democratic
2004,VIRGINIA,VA,1454742,11032,12682,1716959,South,Republican
2004,WASHINGTON,WA,1510201,11955,32034,1304894,West,Democratic
2004,WEST VIRGINIA,WV,326541,1405,4068,423778,South,Republican
2004,WISCONSIN,WI,1489504,6464,22919,1478120,Midwest,Democratic
2004,WYOMING,WY,70776,1171,4285,167629,West,Republican
2008,ALABAMA,AL,813479,0,19794,1266546,South,Republican
2008,ALASKA,AK,123594,1589,7173,193841,West,Republican
2008,ARIZONA,AZ,1034707,12555,16102,1230111,West,Republican
2008,ARKANSAS,AR,422310,4776,21514,638017,South,Republican
2008,CALIFORNIA,CA,8274473,67582,208064,5011781,West,Democratic
2008,COLORADO,CO,1288576,10897,28299,1073589,West,Democratic
2008,CONNECTICUT,CT,997772,0,19592,629428,Northeast,Democratic
2008,DELAWARE,DE,255459,1109,3470,152374,South,Democratic
2008,DISTRICT OF COLUMBIA,DC,245800,0,2686,17367,South,Democratic
2008,FLORIDA,FL,4282074,17218,45828,4045624,South,Democratic
2008,GEORGIA,GA,1844123,28731,2873,2048759,South,Republican
2008,HAWAII,HI,325871,1314,8313,120566,West,Democratic
2008,IDAHO,ID,236440,3658,12012,403012,West,Republican
2008,ILLINOIS,IL,3419348,19642,52202,2031179,Midwest,Democratic
2008,INDIANA,IN,1374039,29257,2110,1345648,Midwest,Democratic
2008,IOWA,IA,828940,4590,21214,682379,Midwest,Democratic
2008,KANSAS,KS,514765,6706,14746,699655,Midwest,Republican
2008,KENTUCKY,KY,751985,5989,20184,1048462,South,Republican
2008,LOUISIANA,LA,782989,0,29497,1148275,South,Republican
2008,MAINE,ME,421923,0,13967,295273,Northeast,Democratic
2008,MARYLAND,MD,1629467,9842,32425,959862,South,Democratic
2008,MASSACHUSETTS,MA,1904097,13189,76855,1108854,Northeast,Democratic
2008,MICHIGAN,MI,2872579,23716,56662,2048639,Midwest,Democratic
2008,MINNESOTA,MN,1573354,9174,52432,1275409,Midwest,Democratic
2008,MISSISSIPPI,MS,554662,2529,8077,724597,South,Republican
2008,MISSOURI,MO,1441911,11386,26094,1445814,Midwest,Republican
2008,MONTANA,MT,231667,1355,14324,242763,West,Republican
2008,NEBRASKA,NE,333319,2740,12243,452979,Midwest,Republican
2008,NEVADA,NV,533736,4263,17022,412827,West,Democratic
2008,NEW HAMPSHIRE,NH,384826,2748,6862,316534,Northeast,Democratic
2008,NEW JERSEY,NJ,2215422,8441,31167,1613207,Northeast,Democratic
2008,NEW MEXICO,NM,472422,2428,8476,346832,West,Democratic
2008,NEW YORK,NY,4645332,19596,638768,2418323,Northeast,Democratic
2008,NORTH CAROLINA,NC,2142651,25722,14004,2128474,South,Democratic
2008,NORTH DAKOTA,ND,141278,1354,5388,168601,Midwest,Republican
2008,OHIO,OH,2940044,19917,70569,2677820,Midwest,Democratic
2008,OKLAHOMA,OK,502496,0,0,960165,South,Republican
2008,OREGON,OR,1037291,7635,44463,738475,West,Democratic
2008,PENNSYLVANIA,PA,3276363,19912,61112,2655885,Northeast,Democratic
2008,RHODE ISLAND,RI,296571,1382,8422,165391,Northeast,Democratic
2008,SOUTH CAROLINA,SC,862449,7283,16341,1034896,South,Republican
2008,SOUTH DAKOTA,SD,170924,1835,6162,203054,Midwest,Republican
2008,TENNESSEE,TN,1087437,0,33134,1479178,South,Republican
2008,TEXAS,TX,3528633,56116,13718,4479328,South,Republican
2008,UTAH,UT,327670,6966,21704,596030,West,Republican
2008,VERMONT,VT,219262,1067,5743,98974,Northeast,Democratic
2008,VIRGINIA,VA,1959532,11067,27656,1725005,South,Democratic
2008,WASHINGTON,WA,1750848,12728,44086,1229216,West,Democratic
2008,WEST VIRGINIA,WV,303857,0,12128,397466,South,Republican
2008,WISCONSIN,WI,1677211,8858,34955,1262393,Midwest,Democratic
2008,WYOMING,WY,82868,1594,5484,164958,West,Republican
2012,ALABAMA,AL,795696,0,22717,1255925,South,Republican
2012,ALASKA,AK,122640,7392,5787,164676,West,Republican
2012,ARIZONA,AZ,1025232,32100,8268,1233654,West,Republican
2012,ARKANSAS,AR,394409,16276,11039,647744,South,Republican
2012,CALIFORNIA,CA,7854285,143221,201083,4839958,West,Democratic
2012,COLORADO,CO,1323101,35545,25627,1185243,West,Democratic
2012,CONNECTICUT,CT,905083,12340,5889,634892,Northeast,Democratic
2012,DELAWARE,DE,242584,3882,1940,165484,South,Democratic
2012,DISTRICT OF COLUMBIA,DC,267070,2083,3230,21381,South,Democratic
2012,FLORIDA,FL,4237756,44726,28250,4163447,South,Democratic
2012,GEORGIA,GA,1773827,45324,0,2078688,South,Republican
2012,HAWAII,HI,306658,3840,5646,121015,West,Democratic
2012,IDAHO,ID,212787,9453,9123,420911,West,Republican
2012,ILLINOIS,IL,3019512,56229,31057,2135216,Midwest,Democratic
2012,INDIANA,IN,1152887,50111,993,1420543,Midwest,Republican
2012,IOWA,IA,822544,12926,16093,730617,Midwest,Democratic
2012,KANSAS,KS,440726,20456,6155,692634,Midwest,Republican
2012,KENTUCKY,KY,679370,17063,13589,1087190,South,Republican
2012,LOUISIANA,LA,809141,18157,14505,1152262,South,Republican
2012,MAINE,ME,401306,9352,21824,292276,Northeast,Democratic
2012,MARYLAND,MD,1677844,30195,27419,971869,South,Democratic
2012,MASSACHUSETTS,MA,1921290,30920,43672,1188314,Northeast,Democratic
2012,MICHIGAN,MI,2564569,0,51136,2115256,Midwest,Democratic
2012,MINNESOTA,MN,1546167,35098,35071,1320225,Midwest,Democratic
2012,MISSISSIPPI,MS,562949,6676,5213,710746,South,Republican
2012,MISSOURI,MO,1223796,43151,7936,1482440,Midwest,Republican
2012,MONTANA,MT,201839,14165,116,267928,West,Republican
2012,NEBRASKA,NE,302081,11109,6125,475064,Midwest,Republican
2012,NEVADA,NV,531373,10968,9010,463567,West,Democratic
2012,NEW HAMPSHIRE,NH,369561,8212,3281,329918,Northeast,Democratic
2012,NEW JERSEY,NJ,2122786,21035,16590,1478088,Northeast,Democratic
2012,NEW MEXICO,NM,415335,27788,4847,335788,West,Democratic
2012,NEW YORK,NY,4324228,47092,522067,2223397,Northeast,Democratic
2012,NORTH CAROLINA,NC,2178391,44515,12071,2270395,South,Republican
2012,NORTH DAKOTA,ND,124966,5238,4408,188320,Midwest,Republican
2012,OHIO,OH,2827621,49493,42301,2661407,Midwest,Democratic
2012,OKLAHOMA,OK,443547,0,0,891325,South,Republican
2012,OREGON,OR,970488,24089,40518,754175,West,Democratic
2012,PENNSYLVANIA,PA,2990274,49991,21341,2680434,Northeast,Democratic
2012,RHODE ISLAND,RI,279677,4388,4780,157204,Northeast,Democratic
2012,SOUTH CAROLINA,SC,865941,16321,10211,1071645,South,Republican
2012,SOUTH DAKOTA,SD,145039,5795,2371,210610,Midwest,Republican
2012,TENNESSEE,TN,960709,0,35538,1462330,South,Republican
2012,TEXAS,TX,3308124,88580,27304,4569843,South,Republican
2012,UTAH,UT,251813,12572,12455,740600,West,Republican
2012,VERMONT,VT,199239,3487,3866,92698,Northeast,Democratic
2012,VIRGINIA,VA,1971820,31216,28931,1822522,South,Democratic
2012,WASHINGTON,WA,1755396,42202,37248,1290670,West,Democratic
2012,WEST VIRGINIA,WV,238269,6302,8212,417655,South,Republican
2012,WISCONSIN,WI,1620985,0,39483,1410966,Midwest,Democratic
2012,WYOMING,WY,69286,5326,5127,170962,West,Republican
2016,ALABAMA,AL,729547,44467,31103,1318255,South,Republican
2016,ALASKA,AK,116454,18725,20042,163387,West,Republican
2016,ARIZONA,AZ,1161209,106327,53228,1252401,West,Republican
2016,ARKANSAS,AR,380494,29829,35440,684872,South,Republican
2016,CALIFORNIA,CA,8753788,478500,465497,4483810,West,Democratic
2016,COLORADO,CO,1338870,144121,94745,1202484,West,Democratic
2016,CONNECTICUT,CT,897572,48676,25457,673215,Northeast,Democratic
2016,DELAWARE,DE,235603,14757,6103,185127,South,Democratic
2016,DISTRICT OF COLUMBIA,DC,282830,4906,12116,12723,South,Democratic
2016,FLORIDA,FL,4504975,207043,90135,4617886,South,Republican
2016,GEORGIA,GA,1877963,125306,22359,2089104,South,Republican
2016,HAWAII,HI,266891,15954,25972,128847,West,Democratic
2016,IDAHO,ID,189765,28331,63104,409055,West,Republican
2016,ILLINOIS,IL,3090729,209596,90084,2146015,Midwest,Democratic
2016,INDIANA,IN,1033126,133993,10553,1557286,Midwest,Republican
2016,IOWA,IA,653669,59186,51742,800983,Midwest,Republican
2016,KANSAS,KS,427005,55406,30973,671018,Midwest,Republican
2016,KENTUCKY,KY,628854,53752,38572,1202971,South,Republican
2016,LOUISIANA,LA,780154,37978,32262,1178638,South,Republican
2016,MAINE,ME,357735,38105,40459,335593,Northeast,Democratic
2016,MARYLAND,MD,1678006,79605,80407,943428,South,Democratic
2016,MASSACHUSETTS,MA,1995196,138018,154714,1090893,Northeast,Democratic
2016,MICHIGAN,MI,2268839,172136,78766,2279543,Midwest,Republican
2016,MINNESOTA,MN,1367705,112972,141156,1322949,Midwest,Democratic
2016,MISSISSIPPI,MS,485131,14435,9077,700714,South,Republican
2016,MISSOURI,MO,1071068,97359,45667,1594511,Midwest,Republican
2016,MONTANA,MT,177709,28037,9540,279240,West,Republican
2016,NEBRASKA,NE,284494,38946,24826,495961,Midwest,Republican
2016,NEVADA,NV,539260,37384,36683,512058,West,Democratic
2016,NEW HAMPSHIRE,NH,348526,30777,19203,345790,Northeast,Democratic
2016,NEW JERSEY,NJ,2148278,72477,51358,1601933,Northeast,Democratic
2016,NEW MEXICO,NM,385234,74541,18877,319667,West,Democratic
2016,NEW YORK,NY,4379789,57442,837711,2527142,Northeast,Democratic
2016,NORTH CAROLINA,NC,2189316,130126,59491,2362631,South,Republican
2016,NORTH DAKOTA,ND,93758,21434,12374,216794,Midwest,Republican
2016,OHIO,OH,2394164,0,261318,2841005,Midwest,Republican
2016,OKLAHOMA,OK,420375,83481,0,949136,South,Republican
2016,OREGON,OR,1002106,94231,122596,782403,West,Democratic
2016,PENNSYLVANIA,PA,2926441,146715,71513,2970733,Northeast,Republican
2016,RHODE ISLAND,RI,252525,14746,16330,180543,Northeast,Democratic
2016,SOUTH CAROLINA,SC,855373,49204,43061,1155389,South,Republican
2016,SOUTH DAKOTA,SD,117458,20850,4064,227721,Midwest,Republican
2016,TENNESSEE,TN,870695,0,114407,1522925,South,Republican
2016,TEXAS,TX,3877868,283492,122819,4685047,South,Republican
2016,UTAH,UT,310674,39608,265824,515211,West,Republican
2016,VERMONT,VT,178573,10078,36447,95369,Northeast,Democratic
2016,VIRGINIA,VA,1981473,118274,113562,1769443,South,Democratic
2016,WASHINGTON,WA,1742718,160879,191675,1221747,West,Democratic
2016,WEST VIRGINIA,WV,188794,23004,11882,489371,South,Republican
2016,WISCONSIN,WI,1382536,106674,81656,1405284,Midwest,Republican
2016,WYOMING,WY,55973,13287,15109,174419,West,Republican
2020,ALABAMA,AL,849624,25176,7312,1441170,South,Republican
2020,ALASKA,AK,153778,8897,6904,189951,West,Republican
2020,ARIZONA,AZ,1672143,51465,2032,1661686,West,Democratic
2020,ARKANSAS,AR,423932,13133,21357,760647,South,Republican
2020,CALIFORNIA,CA,11110250,187895,196307,6006429,West,Democratic
2020,COLORADO,CO,1804352,52460,58561,1364607,West,Democratic
2020,CONNECTICUT,CT,1080831,20230,8079,714717,Northeast,Democratic
2020,DELAWARE,DE,296268,5000,2475,200603,South,Democratic
2020,DISTRICT OF COLUMBIA,DC,317323,2036,6411,18586,South,Democratic
2020,FLORIDA,FL,5297045,70324,31356,5668731,South,Republican
2020,GEORGIA,GA,2473633,62229,2244,2461854,South,Democratic
2020,HAWAII,HI,366130,5539,11251,196864,West,Democratic
2020,IDAHO,ID,287021,16404,10470,554119,West,Republican
2020,ILLINOIS,IL,3471915,66544,48393,2446891,Midwest,Democratic
2020,INDIANA,IN,1242416,59232,1951,1729519,Midwest,Republican
2020,IOWA,IA,759061,19637,23760,897672,Midwest,Republican
2020,KANSAS,KS,570323,30574,0,771406,Midwest,Republican
2020,KENTUCKY,KY,772474,26234,11414,1326646,South,Republican
2020,LOUISIANA,LA,856034,21645,14607,1255776,South,Republican
2020,MAINE,ME,435072,14152,18344,360737,Northeast,Democratic
2020,MARYLAND,MD,1985023,33488,42105,976414,South,Democratic
2020,MASSACHUSETTS,MA,2382202,47013,61588,1167202,Northeast,Democratic
2020,MICHIGAN,MI,2804040,60381,25029,2649852,Midwest,Democratic
2020,MINNESOTA,MN,1717077,34976,41053,1484065,Midwest,Democratic
2020,MISSISSIPPI,MS,539398,8026,9571,756764,South,Republican
2020,MISSOURI,MO,1253014,41205,13007,1718736,Midwest,Republican
2020,MONTANA,MT,244786,15252,34,343602,West,Republican
2020,NEBRASKA,NE,374583,20283,4671,556846,Midwest,Republican
2020,NEVADA,NV,703486,14783,17217,669890,West,Democratic
2020,NEW HAMPSHIRE,NH,424921,13235,2372,365654,Northeast,Democratic
2020,NEW JERSEY,NJ,2608335,31677,26067,1883274,Northeast,Democratic
2020,NEW MEXICO,NM,501614,12585,7872,401894,West,Democratic
2020,NEW YORK,NY,5230985,60234,125718,3244798,Northeast,Democratic
2020,NORTH CAROLINA,NC,2684292,48678,33059,2758773,South,Republican
2020,NORTH DAKOTA,ND,114902,9393,1929,235595,Midwest,Republican
2020,OHIO,OH,2679165,67569,20634,3154834,Midwest,Republican
2020,OKLAHOMA,OK,503890,24731,11798,1020280,South,Republican
2020,OREGON,OR,1340383,41582,33908,958448,West,Democratic
2020,PENNSYLVANIA,PA,3458229,79380,0,3377674,Northeast,Democratic
2020,RHODE ISLAND,RI,307486,5053,4529,199922,Northeast,Democratic
2020,SOUTH CAROLINA,SC,1091541,27916,9536,1385103,South,Republican
2020,SOUTH DAKOTA,SD,150471,11095,0,261043,Midwest,Republican
2020,TENNESSEE,TN,1143711,0,57665,1852475,South,Republican
2020,TEXAS,TX,5259126,126243,39340,5890347,South,Republican
2020,UTAH,UT,560282,38447,24420,865140,West,Republican
2020,VERMONT,VT,242820,3608,11836,112704,Northeast,Democratic
2020,VIRGINIA,VA,2413568,64761,19765,1962430,South,Democratic
2020,WASHINGTON,WA,2369612,80500,52868,1584651,West,Democratic
2020,WEST VIRGINIA,WV,235984,10687,2599,545382,South,Republican
2020,WISCONSIN,WI,1630866,0,56991,1610184,Midwest,Democratic
2020,WYOMING,WY,73491,5768,5685,193559,West,Republican
