Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1958,"3,2","3,2","2,8","2,4","2,4","2,1","2,4","2,1","1,7","1,7","1,7","1,7","2,4",,
1959,"1,7","1,7","1,7","1,7",2,2,2,2,"2,4","2,7",2,2,2,,
1960,2,"2,3",2,2,"1,7","1,7","1,3","1,3",1,1,1,1,"1,3",,
1961,1,"0,7","0,7",1,1,1,"1,3","1,3","1,6","1,3","1,3","1,3","1,3",,
1962,"1,3","1,3","1,6","1,3","1,6","1,6","1,3","1,3","1,3","1,3","1,3","1,3","1,3",,
1963,1,1,1,"1,3",1,"1,3","1,3","1,6","1,3","1,3","1,6","1,6","1,3",,
1964,"1,9","1,9","1,9","1,6","1,6","1,6","1,6","0,9","1,3","1,3","1,2","1,2","1,6",,
1965,"1,6","1,6","1,2","1,6","1,6","1,2","1,2","1,6","1,5","1,5","1,2","1,5","1,2",,
1966,"0,9","1,2","1,5","1,8","2,1","2,4","2,8","3,1",3,"3,3","3,6","3,3","2,4",,
1967,"3,6","3,6","3,6","3,3","3,3","3,3","3,3","3,3","3,6","3,5","3,5","3,8","3,6",,
1968,"4,1","4,1","4,4","4,4","4,3","4,6","4,9","4,9","4,9","4,8","5,1","5,1","4,6",,
1969,"5,1","5,3","5,6","6,1","6,1","5,8","5,8","5,8",6,6,"5,9","6,2","5,8",,
1970,"6,2","6,1","6,1","5,8",6,"6,5","6,2","6,2","6,2","6,4","6,6","6,6","6,3",,
1971,"6,3","5,8","5,2",5,"5,2","4,9","4,9","4,6","4,4","3,8","3,3","3,1","4,7",,
1972,"3,1","3,3","3,3","3,3","3,1","2,8","2,8","3,3","2,8",3,3,3,3,,
1973,"2,8","2,8",3,"3,2","3,2","3,2","3,2","3,2","3,8","4,3","4,5","4,7","3,6",,
1974,"4,9","5,4","5,8","6,2","6,8","7,9","8,8","9,6","10,2","10,6","11,2","11,1","8,3",,
1975,"11,5","11,7","11,4","11,3","10,5","9,6","9,1","8,2","7,7",7,"6,8","6,7","9,1",,
1976,"6,7","6,5","6,6","6,4","6,5","6,5","6,7","6,8","6,8","6,7","6,5","6,1","6,5",,
1977,"6,3","6,3","6,2","6,3","6,3","6,6","6,3","6,2","6,2",6,"5,9","6,5","6,3",,
1978,"6,4","6,2","6,3","6,5","6,8",7,"7,4","7,5","7,9","8,4","8,7","8,5","7,4",,
1979,"8,6","9,2","9,3","9,3","9,4","9,3","9,6",10,"9,9","10,1","10,6","11,3","9,8",,
1980,12,12,"12,5",13,"13,3","13,6","12,4","11,8",12,"12,3","12,1","12,2","12,4",,
1981,"11,4","10,9",10,"9,5","9,5","9,4","11,1","11,6","11,8","10,9","10,2","9,5","10,4",,
1982,"9,3","9,1","8,8","8,9","8,7","8,6","7,6","7,1","5,9","5,9","5,3","4,5","7,4",,
1983,"4,7","4,7","4,7","4,3","3,6","2,9",3,3,"3,5","3,7","4,3","4,8",4,,
1984,"4,8","4,8",5,5,"5,2","5,1",5,"5,1","5,1","4,9","4,6","4,7",5,,
1985,"4,5","4,7","4,8","4,5","4,5","4,4","4,2","4,1",4,"4,1","4,4","4,3","4,3","4,7","4,3"
1986,"4,4","4,2","4,1","4,2",4,4,"4,1",4,"4,1",4,"3,8","3,8",4,"4,1",4
1987,"3,8","3,8",4,"4,2","4,2","4,1",4,"4,2","4,3","4,3","4,4","4,2","4,1",4,"4,2"
1988,"4,3","4,3","4,4","4,3","4,3","4,5","4,5","4,4","4,4","4,5","4,4","4,7","4,4","4,4","4,5"
1989,"4,6","4,8","4,7","4,6","4,6","4,5","4,6","4,4","4,3","4,3","4,4","4,4","4,5","4,6","4,3"
1990,"4,4","4,6","4,9","4,8","4,8","4,9",5,"5,5","5,5","5,3","5,3","5,2",5,"4,8","5,3"
1991,"5,6","5,6","5,2","5,1","5,1",5,"4,8","4,6","4,5","4,4","4,5","4,4","4,9","5,3","4,6"
1992,"3,9","3,8","3,9","3,9","3,8","3,8","3,7","3,5","3,3","3,5","3,4","3,3","3,7","3,8","3,4"
1993,"3,5","3,6","3,4","3,5","3,4","3,3","3,2","3,3","3,2",3,"3,1","3,2","3,3","3,4","3,2"
1994,"2,9","2,8","2,9","2,8","2,8","2,9","2,9","2,9",3,"2,9","2,8","2,6","2,8","2,8","2,9"
1995,"2,9",3,3,"3,1","3,1",3,3,"2,9","2,9",3,3,3,3,3,3
1996,3,"2,9","2,8","2,7","2,7","2,7","2,7","2,6","2,7","2,6","2,6","2,6","2,7","2,7","2,7"
1997,"2,5","2,5","2,5","2,7","2,5","2,4","2,4","2,3","2,2","2,3","2,2","2,2","2,4","2,6","2,2"
1998,"2,2","2,3","2,1","2,1","2,2","2,2","2,2","2,5","2,5","2,3","2,3","2,4","2,3","2,2","2,4"
1999,"2,4","2,1","2,1","2,2",2,"2,1","2,1","1,9",2,"2,1","2,1","1,9","2,1","2,1",2
2000,2,"2,2","2,4","2,3","2,4","2,5","2,5","2,6","2,6","2,5","2,6","2,6","2,4","2,3","2,5"
2001,"2,6","2,7","2,7","2,6","2,5","2,7","2,7","2,7","2,6","2,6","2,8","2,7","2,6","2,6","2,7"
2002,"2,6","2,6","2,4","2,5","2,5","2,3","2,2","2,4","2,2","2,2",2,"1,9","2,4","2,5","2,2"
2003,"1,9","1,7","1,7","1,5","1,6","1,5","1,5","1,3","1,2","1,3","1,1","1,1","1,4","1,7","1,3"
2004,"1,1","1,2","1,6","1,8","1,7","1,9","1,8","1,7",2,2,"2,2","2,2","1,8","1,6",2
2005,"2,3","2,4","2,3","2,2","2,2",2,"2,1","2,1",2,"2,1","2,1","2,2","2,2","2,2","2,1"
2006,"2,1","2,1","2,1","2,3","2,4","2,6","2,7","2,8","2,9","2,7","2,6","2,6","2,5","2,2","2,7"
2007,"2,7","2,7","2,5","2,3","2,2","2,2","2,2","2,1","2,1","2,2","2,3","2,4","2,3","2,4","2,3"
2008,"2,5","2,3","2,4","2,3","2,3","2,4","2,5","2,5","2,5","2,2",2,"1,8","2,3","2,3","2,3"
2009,"1,7","1,8","1,8","1,9","1,8","1,7","1,5","1,4","1,5","1,7","1,7","1,8","1,7","1,8","1,6"
2010,"1,6","1,3","1,1","0,9","0,9","0,9","0,9","0,9","0,8","0,6","0,8","0,8",1,"1,1","0,8"
2011,1,"1,1","1,2","1,3","1,5","1,6","1,8",2,2,"2,1","2,2","2,2","1,7","1,3",2
2012,"2,3","2,2","2,3","2,3","2,3","2,2","2,1","1,9",2,2,"1,9","1,9","2,1","2,2",2
2013,"1,9",2,"1,9","1,7","1,7","1,6","1,7","1,8","1,7","1,7","1,7","1,7","1,8","1,8","1,7"
2014,"1,6","1,6","1,7","1,8",2,"1,9","1,9","1,7","1,7","1,8","1,7","1,6","1,7","1,8","1,7"
2015,"1,6","1,7","1,8","1,8","1,7","1,8","1,8","1,8","1,9","1,9",2,"2,1","1,8","1,7","1,9"
2016,"2,2","2,3","2,2","2,1","2,2","2,2","2,2","2,3","2,2","2,1","2,1","2,2","2,2","2,2","2,2"
2017,"2,3","2,2",2,"1,9","1,7","1,7","1,7","1,7","1,7","1,8","1,7","1,8","1,8",2,"1,7"
2018,"1,8","1,8","2,1","2,1","2,2","2,3","2,4","2,2","2,2","2,1","2,2","2,2","2,1","2,1","2,2"
2019,"2,2","2,1",2,"2,1",2,"2,1","2,2","2,4","2,4","2,3","2,3","2,3","2,2","2,1","2,3"
2020,"2,3","2,4","2,1","1,4","1,2","1,2","1,6","1,7","1,7","1,6","1,6","1,6","1,7","1,8","1,6"
2021,"1,4","1,3","1,6",3,"3,8","4,5","4,3",4,4,"4,6","4,9","5,5","3,6","2,6","4,5"
2022,6,"6,4","6,5","6,2",6,"5,9","5,9","6,3","6,6","6,3",6,"5,7","6,2","6,2","6,1"
2023,"5,6","5,5","5,6","5,5","5,3","4,8","4,7","4,3","4,1",4,4,"3,9","4,8","5,4","4,2"
2024,"3,9","3,8","3,8","3,6","3,4","3,3","3,2","3,2","3,3","3,3",,,"3,5","3,6",